school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
1677,satakanya,avi,lalitpur,
1679,shri jalapa,pravi,lalitpur,
1680,myalapokhari,nimavi,gulmi,
1681,thadhua,pravi,gulmi,
1682,sirseni,avi,gulmi,
1683,manakota,pravi,bajhang,
1689,ghanteshvara,mavi,kailali,
1690,janaki,pravi,kailali,
1692,khaptadi,nimavi,kailali,
1693,adarsha saula yuvaka,mavi,lalitpur,
1694,goira~na,pravi,dhading,
1696,bhadkuva,nimavi,gulmi,
1698,sarasvati,pravi,lalitpur,
1699,sarasvati lele,,sarlahi,
1703,bhubaneshvari pra,nimavi,dhading,
1707,dadavana,pravi,gulmi,
1708,janata bala niketana,pravi,gulmi,
1709,sajhapura,pravi,gulmi,
1711,harisiddhi,mavi,lalitpur,
1713,ra,pravi,chitwan,
1716,bhubaneshvari,pravi,dhading,
1717,sarasvati,pravi,sarlahi,
1718,sarasvti,mavi,lalitpur,
1719,shri riluchaura,pravi,bajhang,
1720,mahenratna,pravi,gulmi,
1725,rashtriya,avi,chitwan,
1726,j~nanajyoti,mavi,gorkha,
1728,tripura,avi,dhading,
1731,nrrisheshvara,avi,dhading,
1732,suru~navima,pravi,taplejung,
